,Date,Open,High,Low,Close,Volume
0,12:00,177.76,177.79,177.74,177.77,1023
1,12:01,177.77,177.77,177.71,177.73,368
2,12:02,177.73,177.73,177.73,177.73,1
3,12:03,177.78,177.79,177.72,177.78,116
4,12:04,177.77,177.78,177.72,177.77,286
5,12:05,177.77,177.77,177.77,177.77,3
6,12:06,177.77,177.8,177.76,177.8,877
7,12:07,177.76,177.8,177.75,177.8,161
8,12:08,177.79,177.79,177.75,177.78,267
9,12:09,177.77,177.79,177.72,177.74,891
10,12:10,177.73,177.77,177.71,177.77,1211
11,12:11,177.78,177.78,177.78,177.78,33
12,12:12,177.79,177.82,177.77,177.79,360
13,12:13,177.79,177.8,177.74,177.8,990
14,12:14,177.76,177.79,177.75,177.79,302
15,12:15,177.79,177.82,177.79,177.82,577
16,12:16,177.82,177.84,177.8,177.84,239
17,12:17,177.82,177.82,177.79,177.81,275
18,12:18,177.81,177.81,177.8,177.81,104
19,12:19,177.82,177.85,177.81,177.85,509
20,12:20,177.82,177.82,177.82,177.82,9
21,12:21,177.82,177.83,177.82,177.83,80
22,12:22,177.82,177.82,177.82,177.82,31
23,12:23,177.82,177.83,177.82,177.83,30
24,12:24,177.83,177.89,177.83,177.89,434
25,12:25,177.87,177.87,177.87,177.87,17
26,12:26,177.86,177.86,177.82,177.85,148
27,12:27,177.84,177.89,177.84,177.89,517
28,12:28,177.89,177.93,177.87,177.89,792
29,12:29,177.88,177.88,177.88,177.88,36
30,12:30,177.88,177.9,177.86,177.89,373
31,12:31,177.87,177.9,177.82,177.9,2212
32,12:32,177.9,177.9,177.9,177.9,8
33,12:33,177.92,177.94,177.9,177.93,593
34,12:34,177.91,177.94,177.91,177.91,77
35,12:35,177.92,177.93,177.92,177.93,157
36,12:36,177.93,177.97,177.93,177.96,1144
37,12:37,177.97,178.03,177.96,178.01,1847
38,12:38,178.02,178.02,178.01,178.02,361
39,12:39,178.02,178.02,178.01,178.01,101
40,12:40,178.01,178.01,177.94,177.96,3041
41,12:41,177.97,178.0,177.95,177.98,1712
42,12:42,177.98,177.99,177.98,177.99,73
43,12:43,178.0,178.07,178.0,178.07,2115
44,12:44,178.05,178.12,178.05,178.12,964
45,12:45,178.12,178.23,178.09,178.23,3410
46,12:46,178.2,178.25,178.19,178.22,3014
47,12:47,178.21,178.21,178.17,178.17,3290
48,12:48,178.16,178.2,178.14,178.14,2727
49,12:49,178.14,178.14,178.14,178.14,502
50,12:50,178.14,178.14,178.13,178.14,40
51,12:51,178.15,178.16,178.14,178.15,22
52,12:52,178.15,178.15,178.09,178.14,1454
53,12:53,178.1,178.16,178.1,178.15,297
54,12:54,178.15,178.15,178.14,178.15,67
55,12:55,178.14,178.14,178.13,178.13,25
56,12:56,178.13,178.15,178.09,178.15,2133
57,12:57,178.14,178.15,178.13,178.13,193
58,12:58,178.12,178.12,178.03,178.06,4284
59,12:59,178.05,178.07,178.03,178.03,793
60,01:00,177.7569,178.25,177.72,178.04,40657
61,01:01,178.04,178.2,177.98,178.2,166888
62,01:02,178.04,178.2,177.94,178.2,797
63,01:03,177.98,178.2,177.94,178.02,1650
64,01:04,178.03,178.06,178.0,178.03,368
65,01:05,178.06,178.06,178.0,178.02,337
66,01:06,178.06,178.06,178.01,178.06,252
67,01:07,178.06,178.07,178.04,178.05,1696
68,01:08,178.04,178.06,178.04,178.06,256
69,01:09,178.0022,178.05,178.0,178.03,723
70,01:10,178.05,178.08,178.05,178.07,336
71,01:11,178.08,178.1,178.07,178.1,265
72,01:12,178.12,178.18,178.12,178.1499,2355
73,01:13,178.11,178.15,178.11,178.13,425
74,01:14,178.12,178.13,178.12,178.13,528
75,01:15,178.14,178.17,178.13,178.15,365
76,01:16,178.16,178.17,178.13,178.17,136
77,01:17,178.15,178.17,178.13,178.15,2574
78,01:18,178.17,178.17,178.12,178.12,2943
79,01:19,178.12,178.12,178.1,178.12,367
80,01:20,178.1,178.11,178.1,178.11,687
81,01:21,178.11,178.15,178.1,178.15,608
82,01:22,178.12,178.15,178.11,178.15,384
83,01:23,178.15,178.15,178.02,178.02,2227
84,01:24,178.025,178.08,178.02,178.08,2579
85,01:25,178.0999,178.1,178.08,178.1,3607
86,01:26,178.0999,178.23,178.0999,178.22,14111
87,01:27,178.23,178.26,178.135,178.2,41901
88,01:28,178.17,178.18,178.16,178.18,2744
89,01:29,178.18,178.18,178.12,178.12,1303
90,01:30,178.12,178.15,178.12,178.15,576
91,01:31,178.15,178.18,178.15,178.17,3092
92,01:32,178.17,178.17,178.11,178.12,5092
93,01:33,178.12,178.15,178.12,178.12,4536
94,01:34,178.13,178.15,178.12,178.12,456
95,01:35,178.15,178.15,178.12,178.14,1935
96,01:36,178.15,178.19,178.13,178.18,2781
97,01:37,178.2,178.29,178.2,178.26,9902
98,01:38,178.3,178.35,178.29,178.32,11648
99,01:39,178.3,178.31,178.22,178.24,3183
100,01:40,178.24,178.28,178.2,178.2,3124
101,01:41,178.21,178.25,178.2,178.22,1320
102,01:42,178.25,178.28,178.25,178.26,619
103,01:43,178.28,178.28,178.22,178.26,1912
104,01:44,178.27,178.35,178.27,178.32,3050
105,01:45,178.33,178.35,178.28,178.29,3332
106,01:46,178.29,178.32,178.28,178.31,1190
107,01:47,178.3,178.32,178.29,178.3,4177
108,01:48,178.3,178.31,178.3,178.31,694
109,01:49,178.3,178.31,178.3,178.3,560
110,01:50,178.3,178.3,178.29,178.29,2963
111,01:51,178.2905,178.31,178.18,178.21,11230
112,01:52,178.21,178.25,178.2,178.22,2727
113,01:53,178.25,178.35,178.22,178.32,4130
114,01:54,178.32,178.32,178.28,178.3,780
115,01:55,178.3,178.32,178.3,178.3,204
116,01:56,178.31,178.31,178.28,178.3,1204
117,01:57,178.3,178.3,178.28,178.28,1345
118,01:58,178.29,178.29,178.21,178.26,2202
119,01:59,178.26,178.3,178.25,178.28,2303
120,02:00,178.26,178.35,178.26,178.315,1161
121,02:01,178.31,178.32,178.28,178.3,1575
122,02:02,178.3,178.31,178.28,178.3,734
123,02:03,178.29,178.32,178.26,178.3,2946
124,02:04,178.29,178.32,178.29,178.32,178
125,02:05,178.28,178.35,178.28,178.315,903
126,02:06,178.315,178.35,178.3,178.32,394
127,02:07,178.35,178.35,178.32,178.35,574
128,02:08,178.35,178.39,178.33,178.33,2521
129,02:09,178.335,178.37,178.335,178.3699,369
130,02:10,178.37,178.37,178.325,178.35,3901
131,02:11,178.325,178.35,178.3,178.31,1410
132,02:12,178.34,178.35,178.25,178.28,4064
133,02:13,178.29,178.29,178.27,178.27,919
134,02:14,178.25,178.29,178.25,178.25,901
135,02:15,178.26,178.27,178.25,178.25,820
136,02:16,178.26,178.27,178.25,178.27,709
137,02:17,178.27,178.29,178.26,178.275,1735
138,02:18,178.27,178.27,178.02,178.1,5659
139,02:19,178.07,178.12,178.01,178.08,2886
140,02:20,178.08,178.24,178.05,178.24,1954
141,02:21,178.24,178.24,178.123,178.165,447
142,02:22,178.165,178.24,178.15,178.2,3989
143,02:23,178.2,178.24,178.15,178.17,2117
144,02:24,178.18,178.18,178.16,178.17,1171
145,02:25,178.16,178.16,178.0,178.01,3169
146,02:26,178.07,178.08,178.0,178.02,12496
147,02:27,178.02,178.2,177.92,178.2,5228
148,02:28,178.16,178.17,178.02,178.045,1396
149,02:29,178.07,178.13,178.035,178.08,8073
150,02:30,178.085,178.89,177.72,178.73,865900
151,02:31,178.7721,179.23,178.75,178.99,401667
152,02:32,178.99,179.18,178.19,178.43,333417
153,02:33,178.44,178.69,178.25,178.275,227105
154,02:34,178.2712,178.63,178.24,178.5601,201239
155,02:35,178.56,178.66,178.49,178.4938,146745
156,02:36,178.5,178.54,178.07,178.18,174359
157,02:37,178.175,178.39,178.11,178.15,213671
158,02:38,178.15,178.232,178.09,178.162,119324
159,02:39,178.17,178.33,178.05,178.13,204956
160,02:40,178.14,178.53,178.13,178.4,308096
161,02:41,178.4,178.4599,178.23,178.32,156151
162,02:42,178.32,178.44,178.17,178.4398,169442
163,02:43,178.43,178.66,178.43,178.555,171240
164,02:44,178.56,178.6791,178.38,178.425,154800
165,02:45,178.44,178.58,178.36,178.37,99356
166,02:46,178.37,178.44,178.15,178.4396,127353
167,02:47,178.45,178.4799,177.92,178.01,225282
168,02:48,178.0,178.0697,177.88,177.945,189437
169,02:49,177.9498,178.1321,177.84,178.1,122326
170,02:50,178.1,178.165,177.98,178.07,122782
171,02:51,178.06,178.07,177.9143,178.045,93394
172,02:52,178.04,178.22,177.9701,177.9956,110594
173,02:53,178.0,178.03,177.81,177.95,122510
174,02:54,177.97,178.17,177.93,178.0974,108675
175,02:55,178.1,178.3,178.0982,178.13,152566
176,02:56,178.15,178.19,178.0,178.05,93514
177,02:57,178.04,178.0407,177.84,177.87,144558
178,02:58,177.865,177.93,177.82,177.85,131897
179,02:59,177.86,177.915,177.73,177.88,183730
180,03:00,177.89,177.9855,177.83,177.8819,177830
181,03:01,177.88,177.9,177.46,177.53,369812
182,03:02,177.52,177.55,177.32,177.47,282376
183,03:03,177.49,177.61,177.46,177.535,217681
184,03:04,177.53,177.63,177.4771,177.4788,108302
185,03:05,177.47,177.67,177.46,177.5,136789
186,03:06,177.5,177.6515,177.5,177.585,114121
187,03:07,177.59,177.85,177.59,177.83,163644
188,03:08,177.83,178.085,177.83,177.89,252718
189,03:09,177.91,177.96,177.7,177.8,191870
190,03:10,177.8,177.88,177.7,177.72,92465
191,03:11,177.72,177.985,177.72,177.9541,119878
192,03:12,177.97,178.01,177.91,177.94,90499
193,03:13,177.96,178.06,177.95,178.01,94321
194,03:14,178.0042,178.02,177.86,177.9699,78409
195,03:15,177.9601,178.23,177.9311,178.185,171781
196,03:16,178.18,178.31,178.13,178.3,162733
197,03:17,178.2977,178.43,178.29,178.325,187671
198,03:18,178.32,178.52,178.31,178.48,185764
199,03:19,178.48,178.5899,178.455,178.5397,176910
200,03:20,178.53,178.53,178.42,178.4442,163352
201,03:21,178.45,178.52,178.4,178.4619,99685
202,03:22,178.465,178.55,178.41,178.485,150533
203,03:23,178.48,178.48,178.3,178.34,115062
204,03:24,178.33,178.39,178.23,178.32,131282
205,03:25,178.32,178.38,178.285,178.38,132650
206,03:26,178.37,178.5,178.37,178.382,156471
207,03:27,178.38,178.45,178.33,178.3701,93988
208,03:28,178.3661,178.37,178.25,178.33,95829
209,03:29,178.32,178.41,178.24,178.2602,133599
210,03:30,178.26,178.295,178.1,178.2154,117875
211,03:31,178.23,178.29,178.2,178.24,99776
212,03:32,178.23,178.33,178.21,178.22,97933
213,03:33,178.215,178.245,178.04,178.04,92477
214,03:34,178.04,178.12,177.99,178.0301,136552
215,03:35,178.03,178.2,177.9601,178.1871,148050
216,03:36,178.1813,178.24,178.14,178.145,118378
217,03:37,178.1401,178.18,178.09,178.115,72091
218,03:38,178.1164,178.12,177.98,178.045,106686
219,03:39,178.03,178.24,178.03,178.1834,121121
220,03:40,178.18,178.305,178.17,178.1811,133031
221,03:41,178.19,178.22,178.11,178.15,56949
222,03:42,178.15,178.19,178.12,178.14,70518
223,03:43,178.144,178.19,178.13,178.19,96826
224,03:44,178.186,178.305,178.186,178.295,94170
225,03:45,178.29,178.35,178.27,178.31,104235
226,03:46,178.3049,178.31,178.24,178.2485,71287
227,03:47,178.245,178.255,178.07,178.1,123786
228,03:48,178.09,178.1,178.02,178.07,102300
229,03:49,178.0749,178.22,177.985,178.2199,118599
230,03:50,178.225,178.33,178.225,178.3,118903
231,03:51,178.29,178.3,177.9,177.94,135039
232,03:52,177.93,178.11,177.92,178.0901,94861
233,03:53,178.09,178.2563,178.08,178.2501,107541
234,03:54,178.245,178.33,178.24,178.3,105900
235,03:55,178.29,178.38,178.25,178.35,137226
236,03:56,178.345,178.45,178.345,178.435,130204
237,03:57,178.42,178.48,178.41,178.4168,100841
238,03:58,178.41,178.4118,178.31,178.3844,87864
239,03:59,178.38,178.41,178.35,178.395,68235
240,04:00,178.3908,178.42,178.33,178.3699,83480
241,04:01,178.37,178.3701,178.215,178.2717,82915
242,04:02,178.2696,178.31,178.265,178.29,85713
243,04:03,178.28,178.39,178.26,178.36,72462
244,04:04,178.3699,178.39,178.3,178.32,54157
245,04:05,178.3192,178.32,178.1631,178.2114,100764
246,04:06,178.22,178.285,178.15,178.235,67966
247,04:07,178.24,178.325,178.04,178.07,74315
248,04:08,178.0808,178.129,178.0,178.105,110041
249,04:09,178.105,178.22,178.105,178.16,99184
250,04:10,178.17,178.18,178.0534,178.0677,64732
251,04:11,178.07,178.2158,178.06,178.16,101995
252,04:12,178.17,178.21,178.1319,178.1799,71792
253,04:13,178.17,178.3,178.17,178.21,99841
254,04:14,178.2,178.25,178.075,178.12,64877
255,04:15,178.12,178.13,178.0201,178.0898,71653
256,04:16,178.085,178.13,178.05,178.095,69945
257,04:17,178.1,178.13,178.07,178.13,73319
258,04:18,178.12,178.14,178.09,178.0979,59424
259,04:19,178.09,178.11,178.05,178.0879,86107
260,04:20,178.08,178.209,178.075,178.1999,83293
261,04:21,178.19,178.23,178.12,178.14,105724
262,04:22,178.13,178.16,178.07,178.085,61766
263,04:23,178.085,178.15,178.07,178.085,53642
264,04:24,178.085,178.17,178.085,178.17,48774
265,04:25,178.165,178.23,178.16,178.23,91063
266,04:26,178.24,178.35,178.24,178.29,133476
267,04:27,178.29,178.385,178.29,178.37,103429
268,04:28,178.36,178.43,178.36,178.3933,109191
269,04:29,178.39,178.42,178.35,178.36,50805
270,04:30,178.355,178.3999,178.266,178.2882,70846
271,04:31,178.2805,178.29,178.225,178.2591,64841
272,04:32,178.26,178.3,178.237,178.25,51818
273,04:33,178.2535,178.26,178.15,178.16,77234
274,04:34,178.1599,178.16,178.03,178.0425,100101
275,04:35,178.0413,178.0678,177.965,178.0002,110427
276,04:36,178.01,178.1,177.99,178.065,87952
277,04:37,178.065,178.08,177.97,177.97,80268
278,04:38,177.98,177.98,177.87,177.945,92699
279,04:39,177.945,178.02,177.945,177.99,60430
280,04:40,177.9995,178.06,177.99,178.045,71160
281,04:41,178.055,178.055,178.0006,178.012,61815
282,04:42,178.01,178.03,177.92,177.99,74692
283,04:43,177.9899,178.0515,177.9541,177.99,63975
284,04:44,177.995,178.08,177.9701,178.06,78821
285,04:45,178.05,178.14,178.05,178.0828,117873
286,04:46,178.085,178.15,178.065,178.065,110461
287,04:47,178.06,178.07,177.98,177.9868,76226
288,04:48,177.99,178.0109,177.98,177.99,55041
289,04:49,177.99,178.068,177.97,178.0588,76692
290,04:50,178.0592,178.0592,177.82,177.8786,100772
291,04:51,177.88,177.89,177.7902,177.845,76847
292,04:52,177.8476,177.8498,177.8,177.8,46858
293,04:53,177.805,177.815,177.7,177.76,109497
294,04:54,177.77,177.8354,177.749,177.825,76073
295,04:55,177.825,177.86,177.82,177.835,64646
296,04:56,177.8342,177.86,177.8,177.83,74707
297,04:57,177.83,177.83,177.64,177.765,169043
298,04:58,177.76,177.77,177.6501,177.72,63205
299,04:59,177.725,177.745,177.69,177.705,68050
300,05:00,177.71,177.76,177.61,177.6411,85811
301,05:01,177.65,177.7,177.64,177.6722,58642
302,05:02,177.67,177.78,177.67,177.735,87129
303,05:03,177.72,177.81,177.71,177.7888,58776
304,05:04,177.7856,177.84,177.7601,177.775,80411
305,05:05,177.77,177.77,177.67,177.69,68105
306,05:06,177.68,177.69,177.6386,177.6667,75326
307,05:07,177.665,177.7,177.66,177.68,41370
308,05:08,177.67,177.6742,177.63,177.67,46857
309,05:09,177.66,177.68,177.63,177.65,63981
310,05:10,177.6499,177.73,177.6499,177.685,59340
311,05:11,177.6875,177.6902,177.58,177.6,78249
312,05:12,177.6077,177.66,177.542,177.555,73204
313,05:13,177.5508,177.564,177.46,177.53,96523
314,05:14,177.535,177.5402,177.46,177.52,93533
315,05:15,177.52,177.52,177.415,177.43,87046
316,05:16,177.43,177.44,177.39,177.4,70327
317,05:17,177.4,177.47,177.335,177.365,125046
318,05:18,177.3625,177.38,177.26,177.3747,210276
319,05:19,177.38,177.45,177.37,177.4099,81642
320,05:20,177.4,177.46,177.37,177.43,84484
321,05:21,177.44,177.467,177.35,177.385,115346
322,05:22,177.38,177.48,177.38,177.47,53863
323,05:23,177.47,177.5099,177.46,177.475,62544
324,05:24,177.48,177.55,177.46,177.52,135288
325,05:25,177.5175,177.54,177.5,177.5266,83529
326,05:26,177.53,177.645,177.52,177.615,118030
327,05:27,177.62,177.62,177.54,177.5873,73647
328,05:28,177.58,177.59,177.54,177.5501,44422
329,05:29,177.5401,177.55,177.5,177.51,81773
330,05:30,177.52,177.55,177.5,177.5325,46571
331,05:31,177.54,177.55,177.49,177.52,63530
332,05:32,177.52,177.5448,177.49,177.4901,44813
333,05:33,177.4901,177.51,177.426,177.426,63780
334,05:34,177.425,177.49,177.42,177.487,51307
335,05:35,177.4898,177.6,177.47,177.58,108306
336,05:36,177.5857,177.75,177.58,177.715,123092
337,05:37,177.72,177.76,177.69,177.705,72719
338,05:38,177.7,177.747,177.6926,177.715,36176
339,05:39,177.71,177.8,177.71,177.78,74785
340,05:40,177.77,177.79,177.75,177.775,52472
341,05:41,177.779,177.78,177.68,177.685,94171
342,05:42,177.6824,177.69,177.6518,177.68,70513
343,05:43,177.685,177.6868,177.63,177.635,62648
344,05:44,177.64,177.68,177.63,177.65,49210
345,05:45,177.66,177.66,177.5381,177.5381,54011
346,05:46,177.54,177.57,177.51,177.545,66171
347,05:47,177.56,177.57,177.5251,177.54,33824
348,05:48,177.53,177.59,177.53,177.535,44742
349,05:49,177.5398,177.5398,177.445,177.46,54264
